id,label
0,0
1,4
2,0
3,4
4,4
5,1
6,4
7,1
8,0
9,0
10,0
11,1
12,0
13,5
14,1
15,1
16,1
17,0
18,1
19,0
20,0
21,4
22,0
23,0
24,1
25,0
26,0
27,1
28,0
29,0
30,0
31,2
32,4
33,1
34,1
35,0
36,0
37,0
38,4
39,0
40,0
41,0
42,0
43,2
44,4
45,0
46,2
47,0
48,4
49,1
50,0
51,1
52,0
53,1
54,4
55,4
56,4
57,1
58,4
59,1
60,4
61,1
62,0
63,4
64,1
65,4
66,0
67,1
68,0
69,4
70,5
71,4
72,0
73,1
74,0
75,0
76,0
77,0
78,0
79,2
80,1
81,1
82,0
83,1
84,0
85,4
86,0
87,0
88,1
89,4
90,0
91,0
92,0
93,0
94,0
95,4
96,4
97,0
98,0
99,0
100,1
101,1
102,4
103,4
104,0
105,4
106,0
107,4
108,0
109,1
110,4
111,5
112,4
113,1
114,0
115,4
116,4
117,1
118,0
119,5
120,4
121,0
122,1
123,0
124,1
125,0
126,4
127,0
128,2
129,4
130,1
131,0
132,0
133,0
134,4
135,0
136,4
137,1
138,1
139,0
140,0
141,0
142,0
143,0
144,5
145,1
146,0
147,5
148,1
149,1
150,4
151,0
152,1
153,4
154,0
155,4
156,0
157,4
158,0
159,4
160,0
161,4
162,1
163,0
164,0
165,4
166,0
167,0
168,1
169,4
170,4
171,1
172,4
173,0
174,4
175,0
176,0
177,4
178,1
179,0
180,0
181,4
182,2
183,0
184,0
185,0
186,1
187,1
188,0
189,0
190,0
191,5
192,5
193,1
194,1
195,0
196,5
197,0
198,1
199,0
200,1
201,0
202,4
203,4
204,0
205,1
206,4
207,0
208,4
209,4
210,0
211,1
212,1
213,0
214,0
215,1
216,4
217,1
218,0
219,4
220,1
221,4
222,4
223,4
224,0
225,0
226,0
227,2
228,0
229,4
230,0
231,0
232,0
233,3
234,5
235,0
236,1
237,1
238,0
239,0
240,0
241,1
242,4
243,4
244,1
245,1
246,0
247,4
248,1
249,4
250,0
251,0
252,0
253,1
254,1
255,1
256,5
257,1
258,4
259,4
260,1
261,4
262,1
263,0
264,0
265,0
266,0
267,0
268,1
269,0
270,5
271,0
272,0
273,0
274,0
275,1
276,2
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,1
286,1
287,4
288,0
289,4
290,0
291,0
292,3
293,4
294,0
295,4
296,0
297,0
298,1
299,0
300,1
301,1
302,0
303,0
304,1
305,1
306,2
307,4
308,5
309,4
310,0
311,0
312,5
313,0
314,1
315,0
316,7
317,0
318,2
319,2
320,0
321,0
322,1
323,0
324,4
325,0
326,3
327,0
328,5
329,0
330,1
331,0
332,1
333,0
334,1
335,1
336,1
337,2
338,4
339,0
340,4
341,2
342,1
343,4
344,0
345,0
346,4
347,0
348,2
349,0
350,4
351,1
352,0
353,0
354,4
355,0
356,1
357,0
358,0
359,0
360,0
361,0
362,0
363,4
364,4
365,4
366,2
367,0
368,4
369,5
370,0
371,1
372,4
373,1
374,0
375,4
376,1
377,4
378,4
379,4
380,1
381,4
382,4
383,4
384,1
385,1
386,1
387,4
388,2
389,1
390,1
391,4
392,0
393,4
394,4
395,4
396,4
397,4
398,1
399,4
400,1
401,0
402,0
403,5
404,0
405,0
406,1
407,0
408,4
409,1
410,0
411,1
412,4
413,0
414,0
415,0
416,2
417,0
418,0
419,1
420,1
421,4
422,0
423,1
424,4
425,4
426,4
427,1
428,4
429,0
430,2
431,4
432,0
433,0
434,0
435,4
436,1
437,4
438,0
439,0
440,1
441,0
442,5
443,0
444,4
445,0
446,0
447,5
448,4
449,0
450,0
451,0
452,0
453,2
454,1
455,1
456,1
457,1
458,0
459,0
460,0
461,1
462,1
463,0
464,1
465,2
466,0
467,0
468,0
469,4
470,2
471,0
472,1
473,4
474,0
475,0
476,4
477,4
478,0
479,4
480,4
481,0
482,1
483,0
484,1
485,0
486,1
487,0
488,4
489,5
490,0
491,4
492,0
493,0
494,0
495,4
496,4
497,1
498,0
499,4
500,0
501,4
502,0
503,1
504,1
505,0
506,0
507,4
508,4
509,5
510,0
511,0
512,1
513,0
514,4
515,4
516,1
517,0
518,1
519,1
520,2
521,1
522,4
523,1
524,0
525,5
526,1
527,0
528,2
529,1
530,2
531,2
532,5
533,0
534,0
535,5
536,1
537,0
538,1
539,1
540,5
541,4
542,1
543,1
544,0
545,0
546,0
547,0
548,1
549,0
550,0
551,0
552,0
553,4
554,5
555,4
556,0
557,0
558,0
559,0
560,5
561,2
562,1
563,1
564,0
565,1
566,0
567,1
568,4
569,0
570,1
571,4
572,0
573,5
574,4
575,0
576,4
577,0
578,0
579,0
580,1
581,0
582,0
583,4
584,1
585,4
586,1
587,1
588,0
589,0
590,4
591,4
592,1
593,4
594,0
595,1
596,1
597,0
598,0
599,0
600,0
601,2
602,4
603,1
604,2
605,0
606,0
